date,btc_open,btc_high,btc_low,btc_close,btc_volume,dvol_open,dvol_high,dvol_low,dvol_close,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,btc_log_return,spx_log_return,btc_rv_7d,spx_rv_7d,btc_rv_14d,spx_rv_14d,btc_rv_30d,spx_rv_30d,btc_iv,spx_iv,btc_vrp_7d,spx_vrp_7d,btc_vrp_14d,spx_vrp_14d,btc_vrp_30d,spx_vrp_30d
2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.465021,84.8,95.94,80.52,95.04,3919.929931640625,3942.080078125,3889.070068359375,3889.139892578125,4783020000,20.63999938964844,21.489999771118164,19.299999237060547,21.200000762939453,,,,,,,,,0.9504,0.21200000762939453,,,,,,
2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.534538,95.03,97.43,87.25,89.74,3879.340087890625,3919.5400390625,3853.5,3909.52001953125,4948340000,20.799999237060547,23.549999237060547,19.809999465942383,19.809999465942383,-0.0194966610483523,0.0052265834327292,,,,,,,0.8974,0.19809999465942382,,,,,,
2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692,89.74,89.74,80.22,84.52,3917.1201171875,3978.18994140625,3917.1201171875,3974.5400390625,5483160000,19.31999969482422,21.489999771118164,18.68000030517578,18.86000061035156,0.0702288524916593,0.0164944186587165,,,,,,,0.8452,0.1886000061035156,,,,,,
2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.937398,79.07,83.74,78.88,83.71,3969.31005859375,3981.830078125,3943.25,3971.090087890625,4628180000,20.399999618530273,21.600000381469727,19.420000076293945,20.739999771118164,0.0463398270328442,-0.0008683896263867,,,,,,,0.8371,0.20739999771118164,,,,,,
2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.443122,83.71,86.36,82.0,85.08,3963.340087890625,3968.010009765625,3944.35009765625,3958.550048828125,4121510000,20.760000228881836,21.75,19.469999313354492,19.61000061035156,0.0190945915543977,-0.00316282940965,,,,,,,0.8508,0.19610000610351558,,,,,,
2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.542666,85.08,86.82,83.74,86.45,3967.25,3994.409912109375,3966.97998046875,3972.889892578125,4578050000,19.799999237060547,20.11000061035156,18.850000381469727,19.399999618530273,-0.0001024793186737,0.0036159535924198,,,,,,,0.8645,0.19399999618530273,,,,,,
2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722,86.45,86.63,81.2,82.38,3992.780029296875,4020.6298828125,3992.780029296875,4019.8701171875,4162130000,18.600000381469727,18.63999938964844,17.290000915527344,17.329999923706055,-0.0003424115563215,0.0117558304276741,,,,,,,0.8238,0.17329999923706055,,,,,,
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,82.42,82.6,78.73,80.22,4034.43994140625,4083.419921875,4034.43994140625,4077.909912109375,4005030000,18.15999984741211,18.399999618530273,17.350000381469727,17.90999984741211,0.0069503632476363,0.0143349877622439,0.490265043728343,0.1205466716995866,,,,,0.8022,0.17909999847412109,0.311934956271657,0.05855332677453448,,,,
2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727,80.22,81.3,79.67,81.01,4075.570068359375,4086.22998046875,4068.139892578125,4073.93994140625,4081270000,18.06999969482422,18.299999237060547,17.3700008392334,18.1200008392334,-0.0194478280167704,-0.0009740049407969,0.4901102312178009,0.1293057542244487,,,,,0.8101,0.181200008392334,0.31998976878219915,0.05189425416788529,,,,
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,81.01,81.14,78.36,78.78,4074.2900390625,4083.1298828125,4068.31005859375,4079.949951171875,4120810000,17.989999771118164,18.170000076293945,16.8700008392334,17.15999984741211,-0.0357703176417728,0.0014741456981068,0.4189089167580933,0.107033299837109,,,,,0.7878000000000001,0.1715999984741211,0.3688910832419068,0.0645666986370121,,,,
2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019,78.78,79.0,72.79,74.31,4089.949951171875,4098.18994140625,4082.5400390625,4097.169921875,3907100000,16.920000076293945,17.360000610351562,16.549999237060547,16.950000762939453,0.037258574825073,0.0042117509405917,0.3806923103062216,0.1020731364477459,,,,,0.7431,0.16950000762939454,0.3624076896937784,0.06742687118164864,,,,
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,74.32,77.54,72.19,77.07,4096.10986328125,4129.47998046875,4095.510009765625,4128.7998046875,3640390000,17.049999237060547,17.34000015258789,16.200000762939453,16.690000534057617,0.0011189119465875,0.0076902881356872,0.3596876978992861,0.0877796165444985,,,,,0.7706999999999999,0.16690000534057617,0.4110123021007138,0.07912038879607766,,,,
2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117,82.61,84.81,78.98,84.5,4124.7099609375,4131.759765625,4114.81982421875,4127.990234375,3588900000,17.43000030517578,17.90999984741211,16.809999465942383,16.90999984741211,0.0291109205976017,-0.0001960980747395,0.4043143493465198,0.0948514031249862,,,,,0.845,0.1690999984741211,0.4406856506534802,0.0742485953491349,,,,
2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.688746,84.5,89.14,84.46,88.64,4130.10009765625,4148.0,4124.43017578125,4141.58984375,3734720000,16.989999771118164,17.860000610351562,16.43000030517578,16.649999618530273,0.0602118088836305,0.0032890718770625,0.5291652125376108,0.0843069072742971,,,,,0.8864,0.16649999618530273,0.3572347874623891,0.08219308891100563,,,,
2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.343993,88.64,88.67,83.41,83.85,4141.580078125,4151.68994140625,4120.8701171875,4124.66015625,3985350000,16.709999084472656,17.690000534057617,15.380000114440918,16.989999771118164,-0.0097281722840783,-0.0040961043207301,0.5442338026616341,0.0611642782091901,0.5026028305423104,0.1011321227174717,,,0.8384999999999999,0.16989999771118164,0.2942661973383658,0.10873571950199154,0.33589716945768955,0.06876787499370994,,
2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034,83.85,84.25,76.12,77.08,4139.759765625,4173.490234375,4139.759765625,4170.419921875,4033420000,16.780000686645508,16.920000076293945,15.9399995803833,16.56999969482422,0.0031787337071748,0.0110331014011194,0.5105086000722255,0.0794128268142994,0.4827851879319059,0.1051939028150859,,,0.7707999999999999,0.1656999969482422,0.2602913999277744,0.0862871701339428,0.28801481206809404,0.0605060941331563,,
2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884,77.08,79.26,74.98,77.67,4174.14013671875,4191.31005859375,4170.75,4185.47021484375,4163820000,16.649999618530273,16.8799991607666,16.049999237060547,16.25,-0.0293234910328378,0.0036023233905179,0.4859415892253637,0.0783276777917415,0.4447366216428901,0.090109129762346,,,0.7767000000000001,0.1625,0.2907584107746364,0.0841723222082585,0.33196337835711,0.072390870237654,,
2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.042267,88.4,89.25,82.29,83.2,4179.7998046875,4180.81005859375,4150.47021484375,4163.259765625,3810290000,17.040000915527344,18.61000061035156,16.780000686645508,17.290000915527344,-0.0975683148396118,-0.0053206898937579,0.7855931976814786,0.0946300818439261,0.5960549401781451,0.0962492575947337,,,0.8320000000000001,0.17290000915527343,0.046406802318521456,0.07826992731134733,0.23594505982185499,0.07665075156053973,,
